City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,74.26,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
3,Diego De Almagro,CL,77.25,few clouds,-26.3667,-70.05,hotel luna del desierto
7,Aracaju,BR,87.75,scattered clouds,-10.9111,-37.0717,HOTEL FÊNIX
9,Takoradi,GH,83.88,light rain,4.8845,-1.7554,Raybow International Hotel
11,Bandarbeyla,SO,81.16,overcast clouds,9.4942,50.8122,JABIR HOTEL
13,Castro,BR,78.48,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
14,Itarema,BR,78.62,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
16,Hun,LY,80.47,few clouds,29.1268,15.9477,Alrwasi Hotel
17,Nanyamba,TZ,71.35,clear sky,-10.6833,39.8333,Busati Lodge Nanyamba
21,Caraz,PE,71.08,light rain,-9.0486,-77.81,Hostal La Alameda
22,Monrovia,LR,89.37,overcast clouds,6.3005,-10.7969,Sunset Inn
23,Namibe,AO,73.04,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
24,Vila Velha,BR,94.95,light rain,-20.3297,-40.2925,Hotel Vitória Palace
26,Hithadhoo,MV,83.86,broken clouds,-0.6,73.0833,Scoop Guest House
28,Presidente Epitacio,BR,92.08,broken clouds,-21.7633,-52.1156,Hotel Itaverá
29,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
31,Koson,UZ,75.43,overcast clouds,39.0375,65.585,Jamshid Orziev ning uyi
32,Ponta Do Sol,PT,68.72,broken clouds,32.6667,-17.1,Hotel do Campo
33,Mweka,CD,72.0,moderate rain,-4.85,21.5667,Guest House Boshab
34,Bubaque,GW,77.02,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
35,Antalaha,MG,75.96,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
36,Port Elizabeth,ZA,65.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
38,Riyadh,SA,91.54,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
43,Nicoya,CR,89.2,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
44,Omboue,GA,74.59,overcast clouds,-1.5746,9.2618,Hotel Olako
46,Ambilobe,MG,75.06,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
48,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
55,Kudahuvadhoo,MV,84.94,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
57,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
58,Kavaratti,IN,84.18,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
60,Mirante Do Paranapanema,BR,86.0,scattered clouds,-22.2919,-51.9064,Pousada Estrela de Mirante do Paranapanema
63,Santiago Del Estero,AR,83.1,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
66,Mecca,SA,85.53,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
68,Mosquera,CO,66.29,scattered clouds,4.7059,-74.2302,Hotel SJ
69,Itacoatiara,BR,82.92,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
70,Adeje,ES,67.32,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
73,Mar Del Plata,AR,68.02,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
76,Victoria,HK,74.17,clear sky,22.2855,114.1577,Mini Hotel Central
77,Mahibadhoo,MV,84.22,overcast clouds,3.7833,72.9667,Omadhoo Inn
78,Tabou,CI,84.42,overcast clouds,4.423,-7.3528,hotêl doufoulougou
80,Sambava,MG,78.22,broken clouds,-14.2667,50.1667,Melrose
81,Anloga,GH,83.79,overcast clouds,5.7947,0.8973,Pin Drop Hotel
82,Torbat-E Jam,IR,75.92,overcast clouds,35.244,60.6225,White building
83,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
84,Sehithwa,BW,73.02,broken clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
85,Portobelo,PA,82.74,overcast clouds,9.55,-79.65,Scuba Portobelo
86,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
87,Tucuman,AR,77.0,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
88,Inirida,CO,86.07,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
91,Chuy,UY,76.73,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
94,Cidreira,BR,72.5,broken clouds,-30.1811,-50.2056,Hotel Castelo
97,Yazman,PK,93.31,clear sky,29.1212,71.7446,Jamal sons showroom
99,Pemba,MZ,83.1,few clouds,-12.974,40.5178,Guesthouse Samotina
100,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
102,Luanda,AO,82.4,few clouds,-8.8368,13.2343,EPIC SANA Luanda
104,Agucadoura,PT,67.32,overcast clouds,41.4318,-8.7804,Varzinn Hotel
105,Bereda,ES,67.14,broken clouds,43.2686,-7.5406,Pazo de Verdes
107,Maragogi,BR,82.74,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
121,Correntina,BR,96.42,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
122,Faya,SA,69.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
125,Mercedes,AR,80.04,clear sky,-34.6515,-59.4307,Posada del Inti Centro
127,Kralendijk,BQ,87.78,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
128,Bonthe,SL,85.35,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
129,Guatire,VE,92.7,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
130,Dingle,PH,75.34,light rain,10.9995,122.6711,SEGAYA PROPERTY
131,Bertoua,CM,82.53,overcast clouds,4.5833,13.6833,Hotel De Paris
132,Bilma,NE,97.16,clear sky,18.6853,12.9164,Expeditions Ténére voyages
133,Aksu,CN,71.06,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
139,Winneba,GH,84.51,scattered clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
140,Suleja,NG,88.79,light rain,9.1758,7.1808,Capy Motel
141,Matadi,CD,79.61,moderate rain,-5.8167,13.45,Hotel Vivi Palace
143,Sechura,PE,76.3,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
144,Alfatar,BG,69.62,clear sky,43.95,27.2833,Семеен хотел Братила
147,Chilca,PE,71.1,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
148,Gat,IL,71.4,clear sky,31.61,34.7642,OlusHome
150,Kutum,SD,85.53,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
151,Guanica,PR,85.12,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
153,Jaguariaiva,BR,79.9,overcast clouds,-24.2511,-49.7058,San Juan Jaguariaíva
154,Santiago,CL,74.28,clear sky,-33.4569,-70.6483,Hotel Panamericano
155,Sinnamary,GF,80.55,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
158,Saldanha,ZA,82.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
162,Tefe,BR,89.71,scattered clouds,-3.3542,-64.7114,Aracati Hotel
163,Valparaiso,CL,65.84,clear sky,-33.0393,-71.6273,Hotel Ultramar
167,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
168,Bluefields,NI,86.07,scattered clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
169,Grand Gaube,MU,79.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
173,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
177,Villarrica,PY,86.77,few clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
