City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
0,Cape Town,-33.9258,18.4232,74.26,54,0,14.97,clear sky,ZA
1,Bredasdorp,-34.5322,20.0403,61.68,81,13,22.3,few clouds,ZA
2,Busselton,-33.65,115.3333,60.01,60,96,7.23,overcast clouds,AU
3,Diego De Almagro,-26.3667,-70.05,77.25,18,20,8.46,few clouds,CL
4,Paamiut,61.994,-49.6678,29.17,58,1,7.56,clear sky,GL
5,Coihaique,-45.5752,-72.0662,50.61,87,75,6.91,broken clouds,CL
6,Kibala,9.1104,18.3463,103.95,25,20,0.0,few clouds,TD
7,Aracaju,-10.9111,-37.0717,87.75,66,40,12.66,scattered clouds,BR
8,Antofagasta,-23.65,-70.4,63.68,68,23,8.86,few clouds,CL
9,Takoradi,4.8845,-1.7554,83.88,75,91,13.62,light rain,GH
10,Jamestown,42.097,-79.2353,42.39,53,100,16.11,light rain,US
11,Bandarbeyla,9.4942,50.8122,81.16,77,99,9.91,overcast clouds,SO
12,Floro,61.5996,5.0328,41.23,87,40,17.27,scattered clouds,NO
13,Castro,-24.7911,-50.0119,78.48,56,66,6.89,broken clouds,BR
14,Itarema,-2.9248,-39.9167,78.62,83,62,11.36,broken clouds,BR
15,Dikson,73.5069,80.5464,6.37,97,99,3.83,overcast clouds,RU
16,Hun,29.1268,15.9477,80.47,18,18,11.48,few clouds,LY
17,Nanyamba,-10.6833,39.8333,71.35,97,9,3.42,clear sky,TZ
18,Korla,41.7597,86.1469,70.32,19,86,9.8,overcast clouds,CN
19,Qaanaaq,77.484,-69.3632,-0.56,71,11,4.43,few clouds,GL
20,Storforshei,66.4043,14.5233,42.58,60,100,2.3,overcast clouds,NO
21,Caraz,-9.0486,-77.81,71.08,65,92,5.01,light rain,PE
22,Monrovia,6.3005,-10.7969,89.37,75,99,12.37,overcast clouds,LR
23,Namibe,-15.1961,12.1522,73.04,76,6,6.08,clear sky,AO
24,Vila Velha,-20.3297,-40.2925,94.95,49,40,6.91,light rain,BR
25,Verkh-Suetka,53.3,80.05,25.3,87,7,5.41,clear sky,RU
26,Hithadhoo,-0.6,73.0833,83.86,69,71,8.37,broken clouds,MV
27,Margate,51.3813,1.3862,52.3,47,65,5.01,broken clouds,GB
28,Presidente Epitacio,-21.7633,-52.1156,92.08,41,54,3.44,broken clouds,BR
29,Arraial Do Cabo,-22.9661,-42.0278,84.16,74,0,13.8,clear sky,BR
30,Pangnirtung,66.1451,-65.7125,10.4,79,100,6.91,light snow,CA
31,Koson,39.0375,65.585,75.43,28,97,8.7,overcast clouds,UZ
32,Ponta Do Sol,32.6667,-17.1,68.72,64,61,5.75,broken clouds,PT
33,Mweka,-4.85,21.5667,72.0,93,95,3.42,moderate rain,CD
34,Bubaque,11.2833,-15.8333,77.02,74,50,17.13,scattered clouds,GW
35,Antalaha,-14.9003,50.2788,75.96,86,91,10.0,overcast clouds,MG
36,Port Elizabeth,-33.918,25.5701,65.1,81,100,12.66,overcast clouds,ZA
37,Hermanus,-34.4187,19.2345,63.81,76,0,24.2,clear sky,ZA
38,Riyadh,24.6877,46.7219,91.54,6,100,9.19,overcast clouds,SA
39,Mount Pleasant,32.7941,-79.8626,60.01,39,75,13.8,broken clouds,US
40,Ardino,41.5833,25.1333,53.58,87,2,7.49,clear sky,BG
41,Ushuaia,-54.8,-68.3,47.86,61,20,3.44,few clouds,AR
